Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-04-12,13162.00,8.50,8.50,0.00,1.88,0.55,6.06,0.00,25.00,13.00,328.00,728.00,1985.00
1503960366,2016-04-13,10735.00,6.97,6.97,0.00,1.57,0.69,4.71,0.00,21.00,19.00,217.00,776.00,1797.00
1503960366,2016-04-14,10460.00,6.74,6.74,0.00,2.44,0.40,3.91,0.00,30.00,11.00,181.00,1218.00,1776.00
1503960366,2016-04-15,9762.00,6.28,6.28,0.00,2.14,1.26,2.83,0.00,29.00,34.00,209.00,726.00,1745.00
1503960366,2016-04-16,12669.00,8.16,8.16,0.00,2.71,0.41,5.04,0.00,36.00,10.00,221.00,773.00,1863.00
1503960366,2016-04-17,9705.00,6.48,6.48,0.00,3.19,0.78,2.51,0.00,38.00,20.00,164.00,539.00,1728.00
1503960366,2016-04-18,13019.00,8.59,8.59,0.00,3.25,0.64,4.71,0.00,42.00,16.00,233.00,1149.00,1921.00
1503960366,2016-04-19,15506.00,9.88,9.88,0.00,3.53,1.32,5.03,0.00,50.00,31.00,264.00,775.00,2035.00
1503960366,2016-04-20,10544.00,6.68,6.68,0.00,1.96,0.48,4.24,0.00,28.00,12.00,205.00,818.00,1786.00
1503960366,2016-04-21,9819.00,6.34,6.34,0.00,1.34,0.35,4.65,0.00,19.00,8.00,211.00,838.00,1775.00
1503960366,2016-04-22,12764.00,8.13,8.13,0.00,4.76,1.12,2.24,0.00,66.00,27.00,130.00,1217.00,1827.00
1503960366,2016-04-23,14371.00,9.04,9.04,0.00,2.81,0.87,5.36,0.00,41.00,21.00,262.00,732.00,1949.00
1503960366,2016-04-24,10039.00,6.41,6.41,0.00,2.92,0.21,3.28,0.00,39.00,5.00,238.00,709.00,1788.00
1503960366,2016-04-25,15355.00,9.80,9.80,0.00,5.29,0.57,3.94,0.00,73.00,14.00,216.00,814.00,2013.00
1503960366,2016-04-26,13755.00,8.79,8.79,0.00,2.33,0.92,5.54,0.00,31.00,23.00,279.00,833.00,1970.00
1503960366,2016-04-27,18134.00,12.21,12.21,0.00,6.40,0.41,5.41,0.00,78.00,11.00,243.00,1108.00,2159.00
1503960366,2016-04-28,13154.00,8.53,8.53,0.00,3.54,1.16,3.79,0.00,48.00,28.00,189.00,782.00,1898.00
1503960366,2016-04-29,11181.00,7.15,7.15,0.00,1.06,0.50,5.58,0.00,16.00,12.00,243.00,815.00,1837.00
1503960366,2016-04-30,14673.00,9.25,9.25,0.00,3.56,1.42,4.27,0.00,52.00,34.00,217.00,712.00,1947.00
1503960366,2016-05-01,10602.00,6.81,6.81,0.00,2.29,1.60,2.92,0.00,33.00,35.00,246.00,730.00,1820.00
1503960366,2016-05-02,14727.00,9.71,9.71,0.00,3.21,0.57,5.92,0.00,41.00,15.00,277.00,798.00,2004.00
1503960366,2016-05-03,15103.00,9.66,9.66,0.00,3.73,1.05,4.88,0.00,50.00,24.00,254.00,816.00,1990.00
1503960366,2016-05-04,11100.00,7.15,7.15,0.00,2.46,0.87,3.82,0.00,36.00,22.00,203.00,1179.00,1819.00
1503960366,2016-05-05,14070.00,8.90,8.90,0.00,2.92,1.08,4.88,0.00,45.00,24.00,250.00,857.00,1959.00
1503960366,2016-05-06,12159.00,8.03,8.03,0.00,1.97,0.25,5.81,0.00,24.00,6.00,289.00,754.00,1896.00
1503960366,2016-05-07,11992.00,7.71,7.71,0.00,2.46,2.12,3.13,0.00,37.00,46.00,175.00,833.00,1821.00
1503960366,2016-05-08,10060.00,6.58,6.58,0.00,3.53,0.32,2.73,0.00,44.00,8.00,203.00,574.00,1740.00
